test_id,PM2.5,PM10,O3
dongsi_aq#0,59,127,44
dongsi_aq#1,72,125,50
dongsi_aq#2,73,116,62
dongsi_aq#3,70,107,75
dongsi_aq#4,71,111,89
dongsi_aq#5,73,106,102
dongsi_aq#6,61,105,108
dongsi_aq#7,55,105,118
dongsi_aq#8,58,98,124
dongsi_aq#9,60,113,121
dongsi_aq#10,57,137,121
dongsi_aq#11,66,137,124
dongsi_aq#12,63,155,102
dongsi_aq#13,67,143,95
dongsi_aq#14,64,154,81
dongsi_aq#15,69,190,71
dongsi_aq#16,60,179,58
dongsi_aq#17,60,164,51
dongsi_aq#18,59,141,45
dongsi_aq#19,57,126,40
dongsi_aq#20,60,127,46
dongsi_aq#21,58,120,48
dongsi_aq#22,60,146,39
dongsi_aq#23,69,121,38
tiantan_aq#0,56,126,38
tiantan_aq#1,65,105,42
tiantan_aq#2,68,99,56
tiantan_aq#3,63,98,69
tiantan_aq#4,66,104,80
tiantan_aq#5,60,94,93
tiantan_aq#6,57,97,100
tiantan_aq#7,47,96,104
tiantan_aq#8,57,107,116
tiantan_aq#9,54,114,116
tiantan_aq#10,53,118,110
tiantan_aq#11,57,112,103
tiantan_aq#12,61,136,88
tiantan_aq#13,60,129,74
tiantan_aq#14,58,141,66
tiantan_aq#15,54,156,59
tiantan_aq#16,49,165,48
tiantan_aq#17,51,156,41
tiantan_aq#18,49,126,39
tiantan_aq#19,54,114,35
tiantan_aq#20,52,105,32
tiantan_aq#21,53,109,33
tiantan_aq#22,55,114,29
tiantan_aq#23,60,136,30
guanyuan_aq#0,55,128,45
guanyuan_aq#1,71,129,51
guanyuan_aq#2,72,137,64
guanyuan_aq#3,69,118,83
guanyuan_aq#4,71,114,94
guanyuan_aq#5,70,105,111
guanyuan_aq#6,63,90,119
guanyuan_aq#7,55,98,126
guanyuan_aq#8,67,104,135
guanyuan_aq#9,56,104,124
guanyuan_aq#10,55,114,126
guanyuan_aq#11,62,115,128
guanyuan_aq#12,60,135,108
guanyuan_aq#13,62,125,100
guanyuan_aq#14,59,138,87
guanyuan_aq#15,56,140,77
guanyuan_aq#16,51,144,62
guanyuan_aq#17,55,154,54
guanyuan_aq#18,50,127,54
guanyuan_aq#19,56,118,49
guanyuan_aq#20,56,125,44
guanyuan_aq#21,56,105,48
guanyuan_aq#22,55,113,43
guanyuan_aq#23,60,118,40
wanshouxigong_aq#0,58,150,40
wanshouxigong_aq#1,72,149,43
wanshouxigong_aq#2,77,135,56
wanshouxigong_aq#3,71,118,70
wanshouxigong_aq#4,75,129,82
wanshouxigong_aq#5,68,128,96
wanshouxigong_aq#6,63,95,101
wanshouxigong_aq#7,52,112,107
wanshouxigong_aq#8,63,118,118
wanshouxigong_aq#9,57,129,116
wanshouxigong_aq#10,58,135,115
wanshouxigong_aq#11,65,135,110
wanshouxigong_aq#12,62,148,89
wanshouxigong_aq#13,65,143,78
wanshouxigong_aq#14,62,147,66
wanshouxigong_aq#15,58,160,58
wanshouxigong_aq#16,51,175,49
