test_id,PM2.5,PM10,O3
dongsi_aq#0,15,31,46
dongsi_aq#1,16,31,47
dongsi_aq#2,17,27,58
dongsi_aq#3,14,27,70
dongsi_aq#4,5,19,88
dongsi_aq#5,14,22,98
dongsi_aq#6,13,18,102
dongsi_aq#7,11,25,108
dongsi_aq#8,13,34,107
dongsi_aq#9,14,33,108
dongsi_aq#10,12,36,101
dongsi_aq#11,14,45,86
dongsi_aq#12,17,46,80
dongsi_aq#13,28,89,49
dongsi_aq#14,26,64,48
dongsi_aq#15,34,62,37
dongsi_aq#16,32,68,15
dongsi_aq#17,32,75,4
dongsi_aq#18,32,75,2
dongsi_aq#19,31,57,4
dongsi_aq#20,30,55,2
dongsi_aq#21,22,42,3
dongsi_aq#22,21,29,7
dongsi_aq#23,18,26,20
tiantan_aq#0,14,34,43
tiantan_aq#1,17,34,43
tiantan_aq#2,21,27,55
tiantan_aq#3,19,24,61
tiantan_aq#4,7,21,88
tiantan_aq#5,16,26,93
tiantan_aq#6,12,21,97
tiantan_aq#7,14,32,98
tiantan_aq#8,15,37,102
tiantan_aq#9,14,34,102
tiantan_aq#10,15,24,96
tiantan_aq#11,16,52,79
tiantan_aq#12,20,80,70
tiantan_aq#13,26,79,48
tiantan_aq#14,26,54,31
tiantan_aq#15,26,52,19
tiantan_aq#16,25,47,5
tiantan_aq#17,27,43,2
tiantan_aq#18,28,45,3
tiantan_aq#19,28,46,7
tiantan_aq#20,26,46,3
tiantan_aq#21,21,35,2
tiantan_aq#22,21,29,6
tiantan_aq#23,18,26,20
guanyuan_aq#0,16,32,36
guanyuan_aq#1,21,36,34
guanyuan_aq#2,23,29,49
guanyuan_aq#3,19,21,66
guanyuan_aq#4,17,34,88
guanyuan_aq#5,18,36,92
guanyuan_aq#6,15,22,107
guanyuan_aq#7,16,22,113
guanyuan_aq#8,18,27,117
guanyuan_aq#9,18,25,116
guanyuan_aq#10,16,26,110
guanyuan_aq#11,20,32,97
guanyuan_aq#12,25,51,78
guanyuan_aq#13,29,81,52
guanyuan_aq#14,28,66,49
guanyuan_aq#15,29,62,28
guanyuan_aq#16,29,61,8
guanyuan_aq#17,33,61,2
guanyuan_aq#18,35,64,2
guanyuan_aq#19,24,30,17
guanyuan_aq#20,24,32,15
guanyuan_aq#21,20,23,31
guanyuan_aq#22,20,24,32
guanyuan_aq#23,19,31,27
wanshouxigong_aq#0,18,32,35
wanshouxigong_aq#1,18,33,41
wanshouxigong_aq#2,19,24,57
wanshouxigong_aq#3,17,18,77
wanshouxigong_aq#4,16,36,90
wanshouxigong_aq#5,18,42,92
wanshouxigong_aq#6,15,22,103
wanshouxigong_aq#7,16,25,115
wanshouxigong_aq#8,15,38,112
wanshouxigong_aq#9,14,36,109
wanshouxigong_aq#10,14,41,104
wanshouxigong_aq#11,17,46,90
wanshouxigong_aq#12,24,52,66
wanshouxigong_aq#13,31,82,37
wanshouxigong_aq#14,31,80,30
wanshouxigong_aq#15,25,79,7
wanshouxigong_aq#16,30,69,4
wanshouxigong_aq#17,32,70,2
wanshouxigong_aq#18,35,81,2
wanshouxigong_aq#19,27,46,11
wanshouxigong_aq#20,26,32,16
wanshouxigong_aq#21,19,26,31
wanshouxigong_aq#22,18,25,34
wanshouxigong_aq#23,22,35,30
aotizhongxin_aq#0,20,27,36
aotizhongxin_aq#1,21,28,38
aotizhongxin_aq#2,19,26,57
aotizhongxin_aq#3,15,17,87
aotizhongxin_aq#4,14,24,90
aotizhongxin_aq#5,16,25,100
aotizhongxin_aq#6,14,22,108
aotizhongxin_aq#7,17,23,121
aotizhongxin_aq#8,15,30,117
aotizhongxin_aq#9,15,33,114
aotizhongxin_aq#10,15,33,109
aotizhongxin_aq#11,17,42,94
aotizhongxin_aq#12,17,46,70
aotizhongxin_aq#13,21,43,62
aotizhongxin_aq#14,27,71,30
aotizhongxin_aq#15,27,61,24
aotizhongxin_aq#16,29,52,7
aotizhongxin_aq#17,29,58,4
aotizhongxin_aq#18,29,64,2
aotizhongxin_aq#19,25,47,5
aotizhongxin_aq#20,25,38,12
aotizhongxin_aq#21,19,34,6
aotizhongxin_aq#22,19,34,2
aotizhongxin_aq#23,20,38,6
nongzhanguan_aq#0,18,25,38
nongzhanguan_aq#1,18,26,37
nongzhanguan_aq#2,17,25,53
nongzhanguan_aq#3,14,24,71
nongzhanguan_aq#4,13,17,84
nongzhanguan_aq#5,16,20,96
nongzhanguan_aq#6,13,25,104
nongzhanguan_aq#7,13,31,106
nongzhanguan_aq#8,15,26,106
nongzhanguan_aq#9,14,26,104
nongzhanguan_aq#10,14,31,100
nongzhanguan_aq#11,15,30,96
nongzhanguan_aq#12,14,40,70
nongzhanguan_aq#13,20,63,53
nongzhanguan_aq#14,28,94,22
nongzhanguan_aq#15,32,74,14
nongzhanguan_aq#16,33,70,4
nongzhanguan_aq#17,32,73,3
nongzhanguan_aq#18,32,77,3
nongzhanguan_aq#19,32,59,3
nongzhanguan_aq#20,27,46,6
nongzhanguan_aq#21,24,42,2
nongzhanguan_aq#22,24,43,2
nongzhanguan_aq#23,25,50,3
wanliu_aq#0,17,25,36
wanliu_aq#1,18,30,37
wanliu_aq#2,17,26,49
wanliu_aq#3,11,14,65
wanliu_aq#4,13,22,77
wanliu_aq#5,16,25,87
wanliu_aq#6,10,25,110
wanliu_aq#7,13,30,109
wanliu_aq#8,13,31,122
wanliu_aq#9,13,26,121
wanliu_aq#10,16,34,108
wanliu_aq#11,14,26,105
wanliu_aq#12,17,41,85
wanliu_aq#13,24,97,47
wanliu_aq#14,28,96,24
wanliu_aq#15,32,76,13
wanliu_aq#16,32,67,3
wanliu_aq#17,30,66,2
wanliu_aq#18,28,76,2
wanliu_aq#19,32,62,2
wanliu_aq#20,28,49,5
wanliu_aq#21,22,37,10
wanliu_aq#22,24,36,12
wanliu_aq#23,23,44,14
beibuxinqu_aq#0,17,33,6
beibuxinqu_aq#1,17,37,17
beibuxinqu_aq#2,16,31,41
beibuxinqu_aq#3,12,22,69
beibuxinqu_aq#4,14,25,71
beibuxinqu_aq#5,16,27,85
beibuxinqu_aq#6,11,25,110
beibuxinqu_aq#7,13,31,106
beibuxinqu_aq#8,12,32,113
beibuxinqu_aq#9,11,31,114
beibuxinqu_aq#10,15,45,112
beibuxinqu_aq#11,16,47,101
beibuxinqu_aq#12,17,64,72
beibuxinqu_aq#13,30,136,32
beibuxinqu_aq#14,27,118,17
beibuxinqu_aq#15,26,109,5
beibuxinqu_aq#16,29,103,2
beibuxinqu_aq#17,28,96,2
beibuxinqu_aq#18,24,91,2
beibuxinqu_aq#19,25,80,2
beibuxinqu_aq#20,27,99,2
beibuxinqu_aq#21,23,60,4
beibuxinqu_aq#22,28,59,4
beibuxinqu_aq#23,26,76,4
zhiwuyuan_aq#0,17,33,6
zhiwuyuan_aq#1,17,37,17
zhiwuyuan_aq#2,18,35,38
zhiwuyuan_aq#3,15,26,66
zhiwuyuan_aq#4,15,25,71
zhiwuyuan_aq#5,18,30,84
zhiwuyuan_aq#6,16,21,102
zhiwuyuan_aq#7,16,27,109
zhiwuyuan_aq#8,13,32,113
zhiwuyuan_aq#9,11,31,114
zhiwuyuan_aq#10,15,45,112
zhiwuyuan_aq#11,17,50,97
zhiwuyuan_aq#12,23,74,62
zhiwuyuan_aq#13,30,130,32
zhiwuyuan_aq#14,27,118,17
zhiwuyuan_aq#15,26,109,5
zhiwuyuan_aq#16,29,103,2
zhiwuyuan_aq#17,28,96,2
zhiwuyuan_aq#18,28,98,2
zhiwuyuan_aq#19,25,80,2
zhiwuyuan_aq#20,27,99,2
zhiwuyuan_aq#21,26,70,2
zhiwuyuan_aq#22,30,69,2
zhiwuyuan_aq#23,27,83,2
fengtaihuayuan_aq#0,22,29,36
fengtaihuayuan_aq#1,21,37,30
fengtaihuayuan_aq#2,21,37,44
fengtaihuayuan_aq#3,24,34,53
fengtaihuayuan_aq#4,22,31,72
fengtaihuayuan_aq#5,24,33,85
fengtaihuayuan_aq#6,15,19,101
fengtaihuayuan_aq#7,18,26,108
fengtaihuayuan_aq#8,18,32,114
fengtaihuayuan_aq#9,7,30,113
fengtaihuayuan_aq#10,26,35,106
fengtaihuayuan_aq#11,20,43,92
fengtaihuayuan_aq#12,25,64,61
fengtaihuayuan_aq#13,29,61,43
fengtaihuayuan_aq#14,34,78,14
fengtaihuayuan_aq#15,38,93,5
fengtaihuayuan_aq#16,46,106,2
fengtaihuayuan_aq#17,48,113,2
fengtaihuayuan_aq#18,57,149,2
fengtaihuayuan_aq#19,58,169,2
fengtaihuayuan_aq#20,61,169,2
fengtaihuayuan_aq#21,43,110,7
fengtaihuayuan_aq#22,42,105,8
fengtaihuayuan_aq#23,36,100,4
yungang_aq#0,22,28,45
yungang_aq#1,21,39,36
yungang_aq#2,21,37,47
yungang_aq#3,25,34,51
yungang_aq#4,22,31,72
yungang_aq#5,14,23,87
yungang_aq#6,11,16,100
yungang_aq#7,18,25,108
yungang_aq#8,10,22,121
yungang_aq#9,8,26,118
yungang_aq#10,21,28,112
yungang_aq#11,21,41,97
yungang_aq#12,19,55,70
yungang_aq#13,27,46,40
yungang_aq#14,30,44,43
yungang_aq#15,31,60,33
yungang_aq#16,28,56,35
yungang_aq#17,28,55,21
yungang_aq#18,32,67,19
yungang_aq#19,28,61,24
yungang_aq#20,35,76,15
yungang_aq#21,16,20,42
yungang_aq#22,11,16,56
yungang_aq#23,7,28,48
