test_id,PM2.5,PM10,O3
dongsi_aq#0,60,128,54
dongsi_aq#1,52,79,92
dongsi_aq#2,27,53,135
dongsi_aq#3,28,72,165
dongsi_aq#4,33,64,203
dongsi_aq#5,36,50,228
dongsi_aq#6,25,36,205
dongsi_aq#7,25,36,205
dongsi_aq#8,25,56,230
dongsi_aq#9,22,65,233
dongsi_aq#10,15,54,218
dongsi_aq#11,24,60,200
dongsi_aq#12,24,60,200
dongsi_aq#13,24,60,200
dongsi_aq#14,24,60,200
dongsi_aq#15,24,60,200
dongsi_aq#16,24,60,200
dongsi_aq#17,24,60,200
dongsi_aq#18,24,60,200
dongsi_aq#19,24,60,200
dongsi_aq#20,24,60,200
dongsi_aq#21,24,60,200
dongsi_aq#22,24,60,200
dongsi_aq#23,24,60,200
tiantan_aq#0,56,122,48
tiantan_aq#1,55,82,89
tiantan_aq#2,27,53,135
tiantan_aq#3,28,72,165
tiantan_aq#4,33,64,203
tiantan_aq#5,37,48,224
tiantan_aq#6,25,36,205
tiantan_aq#7,25,36,205
tiantan_aq#8,27,58,222
tiantan_aq#9,32,59,213
tiantan_aq#10,9,34,203
tiantan_aq#11,31,56,189
tiantan_aq#12,31,56,189
tiantan_aq#13,31,56,189
tiantan_aq#14,31,56,189
tiantan_aq#15,31,56,189
tiantan_aq#16,31,56,189
tiantan_aq#17,31,56,189
tiantan_aq#18,31,56,189
tiantan_aq#19,31,56,189
tiantan_aq#20,31,56,189
tiantan_aq#21,31,56,189
tiantan_aq#22,31,56,189
tiantan_aq#23,31,56,189
guanyuan_aq#0,55,132,49
guanyuan_aq#1,49,93,98
guanyuan_aq#2,33,67,133
guanyuan_aq#3,29,73,164
guanyuan_aq#4,31,68,205
guanyuan_aq#5,30,56,246
guanyuan_aq#6,23,40,218
guanyuan_aq#7,23,40,219
guanyuan_aq#8,32,50,244
guanyuan_aq#9,30,65,238
guanyuan_aq#10,15,51,223
guanyuan_aq#11,20,76,224
guanyuan_aq#12,20,76,224
guanyuan_aq#13,20,76,224
guanyuan_aq#14,20,76,224
guanyuan_aq#15,20,76,224
guanyuan_aq#16,20,76,224
guanyuan_aq#17,20,76,224
guanyuan_aq#18,20,76,224
guanyuan_aq#19,20,76,224
guanyuan_aq#20,20,76,224
guanyuan_aq#21,20,76,224
guanyuan_aq#22,20,76,224
guanyuan_aq#23,20,76,224
wanshouxigong_aq#0,58,120,52
wanshouxigong_aq#1,50,130,85
wanshouxigong_aq#2,33,76,125
wanshouxigong_aq#3,29,73,160
wanshouxigong_aq#4,26,68,191
wanshouxigong_aq#5,23,63,215
wanshouxigong_aq#6,16,42,192
wanshouxigong_aq#7,17,43,192
wanshouxigong_aq#8,20,48,214
wanshouxigong_aq#9,16,56,209
wanshouxigong_aq#10,17,57,200
wanshouxigong_aq#11,24,61,182
wanshouxigong_aq#12,24,61,182
wanshouxigong_aq#13,24,61,182
wanshouxigong_aq#14,24,61,182
wanshouxigong_aq#15,24,61,182
wanshouxigong_aq#16,24,61,182
wanshouxigong_aq#17,24,61,182
wanshouxigong_aq#18,24,61,182
wanshouxigong_aq#19,24,61,182
wanshouxigong_aq#20,24,61,182
wanshouxigong_aq#21,24,61,182
wanshouxigong_aq#22,24,61,182
wanshouxigong_aq#23,24,61,182
aotizhongxin_aq#0,83,125,46
aotizhongxin_aq#1,42,82,88
aotizhongxin_aq#2,27,69,124
aotizhongxin_aq#3,29,63,164
aotizhongxin_aq#4,34,62,193
aotizhongxin_aq#5,22,61,211
aotizhongxin_aq#6,16,42,192
aotizhongxin_aq#7,17,43,192
aotizhongxin_aq#8,20,28,226
aotizhongxin_aq#9,21,50,233
aotizhongxin_aq#10,20,52,218
aotizhongxin_aq#11,21,52,195
aotizhongxin_aq#12,21,52,195
aotizhongxin_aq#13,21,52,195
aotizhongxin_aq#14,21,52,195
aotizhongxin_aq#15,21,52,195
aotizhongxin_aq#16,21,52,195
aotizhongxin_aq#17,21,52,195
